agent1_strategy,agent1_reward,agent2_strategy,agent2_reward,temptation,reward,punishment,sucker,agent1_final_strategy,agent1_defection_ratio,agent2_final_strategy,agent2_defection_ratio,agent1_updating_times,agent2_updating_times,thresh
7006.0,7006.0,7006.0,7006.0,2.27,1.0,0.0,-0.9,1.0,0.8992292284965515,1.0,0.8925207257270813,560.0,560.0,1
11006.0,13006.0,12006.0,13006.0,1.36,1.0,0.0,-0.32,1.0,0.946486234664917,1.0,0.9422574043273926,940.0,940.0,1
9006.0,8006.0,7006.0,9006.0,2.5,1.0,0.0,-0.56,1.0,0.8886297941207886,1.0,0.888518750667572,660.0,660.0,1
7006.0,8006.0,7006.0,7006.0,2.79,1.0,0.0,-0.88,1.0,0.9256807565689088,1.0,0.916562557220459,640.0,640.0,1
7006.0,7006.0,8006.0,7006.0,1.24,1.0,0.0,-0.51,1.0,0.9234324097633362,1.0,0.927804172039032,600.0,600.0,1
7006.0,7006.0,7006.0,7006.0,1.88,1.0,0.0,-0.97,1.0,0.8978018760681152,1.0,0.8988010287284851,540.0,540.0,1
8006.0,7006.0,8006.0,8006.0,1.2,1.0,0.0,-0.1,1.0,0.8750936985015869,1.0,0.8492380976676941,600.0,600.0,1
11006.0,11006.0,10006.0,12006.0,1.36,1.0,0.0,-0.74,1.0,0.9220389723777772,1.0,0.9260369539260864,820.0,820.0,1
7006.0,6006.0,7006.0,7006.0,1.01,1.0,0.0,-0.34,1.0,0.8658292889595032,1.0,0.8956608772277832,560.0,560.0,1
7006.0,11006.0,8006.0,12006.0,1.95,1.0,0.0,-0.69,1.0,0.9307013154029846,1.0,0.926536738872528,760.0,760.0,1
8006.0,8006.0,8006.0,9006.0,1.65,1.0,0.0,-0.49,1.0,0.930490791797638,1.0,0.9308239221572876,720.0,720.0,1
7006.0,6006.0,7006.0,5006.0,1.01,1.0,0.0,-0.46,1.0,0.8751070499420166,1.0,0.8773908019065857,560.0,560.0,1
7006.0,7006.0,8006.0,7006.0,1.37,1.0,0.0,-0.82,1.0,0.8915812969207764,1.0,0.8877092003822327,560.0,560.0,1
8006.0,9006.0,8006.0,9006.0,1.92,1.0,0.0,-0.04,0.0,0.3264490365982055,0.0,0.3254497051239013,620.0,620.0,1
10006.0,9006.0,7006.0,9006.0,1.15,1.0,0.0,-0.23,1.0,0.7698380947113037,1.0,0.8833699822425842,900.0,900.0,1
18006.0,18006.0,18006.0,17006.0,1.01,1.0,0.0,-0.07,0.0,0.6834943890571594,0.0,0.6157392263412476,1340.0,1340.0,1
7006.0,16006.0,9006.0,17006.0,1.44,1.0,0.0,-0.11,0.0,0.1588262915611267,0.0,0.1742914319038391,1220.0,1220.0,1
10006.0,17006.0,8006.0,19006.0,2.38,1.0,0.0,-0.41,1.0,0.9555929899215698,1.0,0.9595916867256165,1500.0,1500.0,1
8006.0,20006.0,8006.0,19006.0,1.12,1.0,0.0,-0.09,0.0,0.0936718955636024,0.0,0.1075177416205406,1280.0,1280.0,1
13006.0,16006.0,12006.0,16006.0,2.21,1.0,0.0,-0.91,1.0,0.9287766814231871,1.0,0.9562039375305176,1160.0,1160.0,1
7006.0,6006.0,6006.0,7006.0,2.33,1.0,0.0,-0.81,1.0,0.9177847504615784,1.0,0.9206394553184508,580.0,580.0,1
8006.0,11006.0,8006.0,11006.0,1.32,1.0,0.0,-0.96,1.0,0.9371252059936525,1.0,0.9391241073608398,820.0,820.0,1
7006.0,7006.0,7006.0,5006.0,2.16,1.0,0.0,-0.68,1.0,0.8819583058357239,1.0,0.8723950982093811,560.0,560.0,1
7006.0,8006.0,7006.0,5006.0,1.47,1.0,0.0,-0.62,1.0,0.9266799688339232,1.0,0.9251810908317566,540.0,540.0,1
8006.0,12006.0,8006.0,12006.0,2.02,1.0,0.0,-0.73,1.0,0.9505247473716736,1.0,0.9483591318130492,760.0,760.0,1
8006.0,13006.0,8006.0,11006.0,1.67,1.0,0.0,-0.18,1.0,0.8908196091651917,1.0,0.9177302718162536,900.0,900.0,1
7006.0,8006.0,7006.0,9006.0,1.79,1.0,0.0,-0.65,1.0,0.9259382486343384,1.0,0.9241616725921632,780.0,780.0,1
10006.0,12006.0,8006.0,10006.0,1.01,1.0,0.0,-0.72,1.0,0.9208728671073914,1.0,0.9262035489082336,700.0,700.0,1
7006.0,8006.0,9006.0,7006.0,2.18,1.0,0.0,-0.46,1.0,0.8962913751602173,1.0,0.8948478698730469,640.0,640.0,1
9006.0,10006.0,9006.0,10006.0,1.46,1.0,0.0,-0.86,1.0,0.8953627943992615,1.0,0.9007595181465148,740.0,740.0,1
7006.0,5006.0,7006.0,7006.0,1.07,1.0,0.0,-0.21,1.0,0.9214958548545836,1.0,0.8845275640487671,500.0,500.0,1
10006.0,10006.0,7006.0,10006.0,1.01,1.0,0.0,-0.93,1.0,0.9093543887138368,1.0,0.90355783700943,780.0,780.0,1
15006.0,,,27006.0,1.52,1.0,0.0,-0.02,-1.0,0.9205825328826904,-1.0,0.8220356106758118,2140.0,2140.0,1
7006.0,7006.0,7006.0,8006.0,1.77,1.0,0.0,-0.24,1.0,0.8917062282562256,1.0,0.89183109998703,540.0,540.0,1
6006.0,5006.0,6006.0,5006.0,1.01,1.0,0.0,-0.8,1.0,0.9197469353675842,1.0,0.9209124445915222,500.0,500.0,1
7006.0,8006.0,7006.0,9006.0,1.92,1.0,0.0,-0.99,1.0,0.8813013434410095,1.0,0.8892959952354431,640.0,640.0,1
7006.0,8006.0,7006.0,7006.0,1.12,1.0,0.0,-0.19,1.0,0.8949537873268127,1.0,0.8827129602432251,600.0,600.0,1
7006.0,11006.0,7006.0,9006.0,1.76,1.0,0.0,-0.3,1.0,0.9200435876846312,1.0,0.9229511022567748,780.0,780.0,1
9006.0,10006.0,9006.0,9006.0,1.06,1.0,0.0,-0.28,1.0,0.8280032277107239,1.0,0.8670797348022461,680.0,680.0,1
8006.0,6006.0,8006.0,8006.0,1.79,1.0,0.0,-0.24,1.0,0.9055708050727844,1.0,0.9031975865364076,520.0,520.0,1
7006.0,9006.0,7006.0,10006.0,1.63,1.0,0.0,-0.93,1.0,0.924645185470581,1.0,0.8892664313316345,660.0,660.0,1
6006.0,10006.0,8006.0,10006.0,2.52,1.0,0.0,-0.65,1.0,0.9517289400100708,1.0,0.948730766773224,700.0,700.0,1
8006.0,6006.0,8006.0,9006.0,1.09,1.0,0.0,-0.89,1.0,0.91972017288208,1.0,0.9234954714775084,660.0,660.0,1
7006.0,9006.0,10006.0,8006.0,1.26,1.0,0.0,-0.15,1.0,0.9303417801856996,1.0,0.90665602684021,740.0,740.0,1
9006.0,9006.0,9006.0,9006.0,1.01,1.0,0.0,-0.38,1.0,0.913946270942688,1.0,0.9108372330665588,640.0,640.0,1
7006.0,18006.0,12006.0,18006.0,2.52,1.0,0.0,-0.67,1.0,0.9596245884895324,1.0,0.959346890449524,1220.0,1220.0,1
14006.0,,24006.0,,2.67,1.0,0.0,-0.94,-1.0,0.9752382636070251,-1.0,0.97667133808136,2180.0,2180.0,1
7006.0,6006.0,7006.0,7006.0,1.29,1.0,0.0,-0.69,1.0,0.9130744934082032,1.0,0.9143590927124025,520.0,520.0,1
8006.0,8006.0,7006.0,6006.0,2.04,1.0,0.0,-0.68,1.0,0.9404196739196776,1.0,0.9371721148490906,580.0,580.0,1
7006.0,14006.0,8006.0,13006.0,2.0,1.0,0.0,-0.28,1.0,0.9404540657997132,1.0,0.934670865535736,1000.0,1000.0,1
7006.0,10006.0,7006.0,10006.0,1.67,1.0,0.0,-0.37,1.0,0.9250449538230896,1.0,0.9235458970069884,720.0,720.0,1
8006.0,8006.0,9006.0,8006.0,1.5,1.0,0.0,-0.12,1.0,0.8998445272445679,1.0,0.8598712086677551,600.0,600.0,1
9006.0,6006.0,8006.0,9006.0,1.22,1.0,0.0,-0.53,1.0,0.8880746364593506,1.0,0.8870753049850464,640.0,640.0,1
6006.0,6006.0,8006.0,6006.0,1.01,1.0,0.0,-0.88,1.0,0.9495378732681274,1.0,0.9402948021888732,660.0,660.0,1
8006.0,10006.0,9006.0,10006.0,2.13,1.0,0.0,-0.29,1.0,0.9096542000770568,1.0,0.9032580256462096,700.0,700.0,1
8006.0,8006.0,7006.0,8006.0,2.1,1.0,0.0,-0.25,1.0,0.860729455947876,1.0,0.900199830532074,560.0,560.0,1
8006.0,9006.0,8006.0,11006.0,1.84,1.0,0.0,-0.44,1.0,0.9249500036239624,1.0,0.9237688779830932,720.0,720.0,1
8006.0,5006.0,8006.0,7006.0,1.29,1.0,0.0,-0.24,1.0,0.9180614352226256,1.0,0.9125655889511108,480.0,480.0,1
8006.0,9006.0,8006.0,6006.0,1.4,1.0,0.0,-0.51,1.0,0.9178325533866882,1.0,0.9166111350059508,560.0,560.0,1
8006.0,8006.0,8006.0,8006.0,2.02,1.0,0.0,-0.48,1.0,0.8185111284255981,1.0,0.8586060404777527,540.0,540.0,1
9006.0,16006.0,9006.0,15006.0,2.39,1.0,0.0,-0.58,1.0,0.9470823407173156,1.0,0.9445208311080932,1000.0,1000.0,1
14006.0,,7006.0,,2.72,1.0,0.0,-0.97,-1.0,0.9695060849189758,-1.0,0.9716389775276184,2140.0,2140.0,1
8006.0,6006.0,8006.0,7006.0,2.42,1.0,0.0,-0.89,1.0,0.9116912484169006,1.0,0.9128153920173644,520.0,520.0,1
9006.0,7006.0,8006.0,10006.0,1.01,1.0,0.0,-0.63,1.0,0.9194483160972596,1.0,0.9196482300758362,620.0,620.0,2
7006.0,13006.0,12006.0,12006.0,1.6,1.0,0.0,-0.06,0.0,0.061202522367239,0.0,0.0612794086337089,940.0,940.0,2
9006.0,10006.0,7006.0,9006.0,1.27,1.0,0.0,-0.28,1.0,0.8949630260467529,1.0,0.9352388381958008,700.0,700.0,2
15006.0,15006.0,15006.0,15006.0,1.62,1.0,0.0,-0.41,0.0,0.5065973401069641,0.0,0.506064236164093,980.0,980.0,2
8006.0,10006.0,8006.0,9006.0,2.65,1.0,0.0,-0.85,1.0,0.9253447651863098,1.0,0.9288427233695984,700.0,700.0,2
7006.0,5006.0,7006.0,6006.0,1.32,1.0,0.0,-0.85,1.0,0.9133599996566772,1.0,0.9039394855499268,500.0,500.0,2
7006.0,8006.0,9006.0,8006.0,1.68,1.0,0.0,-0.94,1.0,0.9152787327766418,1.0,0.9112813472747804,720.0,720.0,2
8006.0,8006.0,7006.0,8006.0,1.81,1.0,0.0,-0.14,0.0,0.1201598793268203,0.0,0.1181613802909851,520.0,520.0,2
8006.0,7006.0,8006.0,6006.0,1.17,1.0,0.0,-0.4,1.0,0.8990756869316101,1.0,0.8908318877220154,580.0,580.0,2
7006.0,5006.0,7006.0,4006.0,1.01,1.0,0.0,-0.3,1.0,0.8938053250312805,1.0,0.8890950679779053,500.0,500.0,2
9006.0,6006.0,8006.0,7006.0,1.44,1.0,0.0,-0.98,1.0,0.9287142157554626,1.0,0.9294914603233336,560.0,560.0,2
6006.0,5006.0,7006.0,8006.0,1.01,1.0,0.0,-0.04,0.0,0.2222083508968353,0.0,0.2446914762258529,700.0,700.0,2
8006.0,9006.0,8006.0,10006.0,2.07,1.0,0.0,-0.18,0.0,0.0708574876189231,0.0,0.0656606033444404,860.0,860.0,2
6006.0,8006.0,7006.0,7006.0,2.4,1.0,0.0,-0.79,1.0,0.925056219100952,1.0,0.921808660030365,620.0,620.0,2
7006.0,7006.0,7006.0,7006.0,2.08,1.0,0.0,-0.82,1.0,0.9132172465324402,1.0,0.9155009984970092,600.0,600.0,2
7006.0,9006.0,9006.0,8006.0,2.55,1.0,0.0,-0.82,1.0,0.9096158146858216,1.0,0.9083943963050842,680.0,680.0,2
7006.0,17006.0,7006.0,16006.0,2.32,1.0,0.0,-0.7,1.0,0.959778904914856,1.0,0.9600141048431396,1300.0,1300.0,2
8006.0,7006.0,8006.0,6006.0,1.12,1.0,0.0,-0.48,1.0,0.8632276058197021,1.0,0.8597301840782166,520.0,520.0,2
9006.0,16006.0,8006.0,16006.0,2.37,1.0,0.0,-0.57,1.0,0.9360864758491516,1.0,0.9347119927406312,1280.0,1280.0,2
10006.0,12006.0,9006.0,12006.0,1.83,1.0,0.0,-0.71,1.0,0.9162918329238892,1.0,0.9159587025642396,580.0,580.0,2
9006.0,9006.0,8006.0,9006.0,2.08,1.0,0.0,-0.39,1.0,0.9060626029968262,1.0,0.9063957333564758,520.0,520.0,2
13006.0,12006.0,14006.0,15006.0,2.64,1.0,0.0,-0.86,1.0,0.9422897696495056,1.0,0.939357578754425,880.0,880.0,2
8006.0,8006.0,8006.0,8006.0,1.41,1.0,0.0,-0.71,1.0,0.8827129602432251,1.0,0.8769672513008118,540.0,540.0,2
9006.0,7006.0,8006.0,8006.0,1.01,1.0,0.0,-0.64,1.0,0.8948478698730469,1.0,0.8934044241905212,480.0,480.0,2
8006.0,8006.0,9006.0,6006.0,1.2,1.0,0.0,-0.55,1.0,0.8733066916465759,1.0,0.8751943111419678,520.0,520.0,2
7006.0,5006.0,7006.0,7006.0,1.41,1.0,0.0,-0.22,1.0,0.9145018458366394,1.0,0.9049386382102966,580.0,580.0,2
8006.0,9006.0,9006.0,7006.0,2.43,1.0,0.0,-0.8,1.0,0.9003997445106506,1.0,0.8947368264198303,540.0,540.0,2
13006.0,14006.0,8006.0,14006.0,2.25,1.0,0.0,-0.49,0.0,0.109952874481678,0.0,0.1215907484292984,920.0,920.0,2
7006.0,10006.0,7006.0,10006.0,1.01,1.0,0.0,-0.41,1.0,0.8430941700935364,1.0,0.8922646641731262,700.0,700.0,2
7006.0,7006.0,7006.0,6006.0,1.9,1.0,0.0,-0.95,1.0,0.9130744934082032,1.0,0.9067941904067992,560.0,560.0,2
7006.0,11006.0,10006.0,5006.0,1.47,1.0,0.0,-0.4,1.0,0.8734326958656311,1.0,0.8995093703269958,740.0,740.0,2
7006.0,10006.0,7006.0,11006.0,1.26,1.0,0.0,-0.83,1.0,0.925222635269165,1.0,0.924314022064209,860.0,860.0,2
6006.0,8006.0,8006.0,8006.0,1.06,1.0,0.0,-0.94,1.0,0.9008243680000304,1.0,0.9059455394744872,700.0,700.0,2
7006.0,7006.0,7006.0,7006.0,1.23,1.0,0.0,-0.06,0.0,0.4586068987846374,0.0,0.4714530408382416,580.0,580.0,2
14006.0,14006.0,14006.0,14006.0,1.96,1.0,0.0,-0.04,0.0,0.0501213781535625,0.0,0.0483364276587963,920.0,920.0,2
6006.0,4006.0,6006.0,5006.0,1.26,1.0,0.0,-0.2,1.0,0.9039294123649596,1.0,0.9017649292945862,500.0,500.0,2
7006.0,6006.0,8006.0,8006.0,1.79,1.0,0.0,-0.7,1.0,0.9056957364082336,1.0,0.9106919765472412,520.0,520.0,2
11006.0,14006.0,14006.0,14006.0,2.27,1.0,0.0,-0.9,1.0,0.9502356052398682,1.0,0.9493788480758668,1160.0,1160.0,2
8006.0,8006.0,7006.0,8006.0,1.36,1.0,0.0,-0.32,0.0,0.1145390942692756,0.0,0.1131651252508163,600.0,600.0,2
13006.0,16006.0,6006.0,15006.0,2.5,1.0,0.0,-0.56,1.0,0.9596401453018188,1.0,0.96238911151886,1380.0,1380.0,2
7006.0,8006.0,7006.0,8006.0,2.79,1.0,0.0,-0.88,1.0,0.8933299779891968,1.0,0.8955783247947693,640.0,640.0,2
7006.0,5006.0,7006.0,6006.0,1.24,1.0,0.0,-0.51,1.0,0.8845275640487671,1.0,0.8922352194786072,520.0,520.0,2
7006.0,17006.0,8006.0,17006.0,1.88,1.0,0.0,-0.97,1.0,0.9639539122581482,1.0,0.962483823299408,1460.0,1460.0,2
7006.0,21006.0,21006.0,21006.0,1.2,1.0,0.0,-0.1,1.0,0.9311625361442566,1.0,0.577501654624939,1620.0,1620.0,2
9006.0,9006.0,9006.0,10006.0,1.36,1.0,0.0,-0.74,1.0,0.9243453741073608,1.0,0.9206476211547852,660.0,660.0,2
8006.0,7006.0,7006.0,6006.0,1.01,1.0,0.0,-0.34,1.0,0.9065700769424438,1.0,0.9099425673484802,580.0,580.0,2
8006.0,9006.0,8006.0,8006.0,1.95,1.0,0.0,-0.69,1.0,0.918165683746338,1.0,0.9217188358306884,700.0,700.0,2
7006.0,7006.0,7006.0,8006.0,1.65,1.0,0.0,-0.49,0.0,0.0761928558349609,0.0,0.0764426663517952,620.0,620.0,2
7006.0,7006.0,6006.0,7006.0,1.01,1.0,0.0,-0.46,1.0,0.8706822991371155,1.0,0.875535249710083,580.0,580.0,2
7006.0,7006.0,6006.0,7006.0,1.37,1.0,0.0,-0.82,1.0,0.8889523148536682,1.0,0.8958035707473755,540.0,540.0,2
7006.0,8006.0,8006.0,8006.0,1.92,1.0,0.0,-0.04,0.0,0.0758181363344192,0.0,0.0821883603930473,620.0,620.0,2
6006.0,4006.0,6006.0,5006.0,1.15,1.0,0.0,-0.23,1.0,0.8942723870277405,1.0,0.8894438743591309,560.0,560.0,2
15006.0,15006.0,15006.0,15006.0,1.01,1.0,0.0,-0.07,0.0,0.7263094782829285,0.0,0.7680261135101318,1140.0,1140.0,2
7006.0,7006.0,8006.0,7006.0,1.44,1.0,0.0,-0.11,0.0,0.1493879556655883,0.0,0.140394702553749,540.0,540.0,2
8006.0,28006.0,8006.0,29006.0,2.38,1.0,0.0,-0.41,1.0,0.9693167209625244,1.0,0.9673515558242798,2060.0,2060.0,2
6006.0,8006.0,7006.0,6006.0,1.12,1.0,0.0,-0.09,0.0,0.3398700952529907,0.0,0.2640519738197326,700.0,700.0,2
7006.0,22006.0,17006.0,22006.0,2.21,1.0,0.0,-0.91,1.0,0.9702354073524476,1.0,0.971280574798584,1740.0,1740.0,2
9006.0,11006.0,8006.0,11006.0,2.33,1.0,0.0,-0.81,1.0,0.9353988766670228,1.0,0.9330365061759948,860.0,860.0,2
8006.0,8006.0,8006.0,7006.0,1.32,1.0,0.0,-0.96,1.0,0.9224331974983216,1.0,0.920559585094452,460.0,460.0,2
7006.0,10006.0,8006.0,10006.0,2.16,1.0,0.0,-0.68,1.0,0.9520288109779358,1.0,0.9460324048995972,760.0,760.0,2
9006.0,9006.0,9006.0,8006.0,1.47,1.0,0.0,-0.62,1.0,0.8493226766586304,1.0,0.8563179969787598,560.0,560.0,2
6006.0,11006.0,6006.0,11006.0,2.02,1.0,0.0,-0.73,1.0,0.9391241073608398,1.0,0.9438487887382508,940.0,940.0,2
7006.0,10006.0,8006.0,7006.0,1.67,1.0,0.0,-0.18,0.0,0.0677593424916267,0.0,0.0718568861484527,780.0,780.0,2
6006.0,11006.0,10006.0,10006.0,1.79,1.0,0.0,-0.65,1.0,0.8236416578292847,1.0,0.8683445453643799,920.0,920.0,2
11006.0,10006.0,11006.0,10006.0,1.01,1.0,0.0,-0.72,1.0,0.9229511022567748,1.0,0.9216790795326232,560.0,560.0,2
6006.0,10006.0,10006.0,10006.0,2.18,1.0,0.0,-0.46,0.0,0.076753944158554,0.0,0.1469118595123291,840.0,840.0,2
7006.0,10006.0,6006.0,10006.0,1.46,1.0,0.0,-0.86,1.0,0.9299420118331908,1.0,0.942434549331665,700.0,700.0,2
9006.0,7006.0,7006.0,9006.0,1.07,1.0,0.0,-0.21,1.0,0.8325560688972473,1.0,0.8518764972686768,720.0,720.0,2
7006.0,9006.0,8006.0,9006.0,1.01,1.0,0.0,-0.93,1.0,0.9344881176948548,1.0,0.932822585105896,700.0,700.0,2
6006.0,7006.0,7006.0,7006.0,1.52,1.0,0.0,-0.02,0.0,0.1223237216472625,0.0,0.1488723903894424,580.0,580.0,2
6006.0,7006.0,6006.0,7006.0,1.77,1.0,0.0,-0.24,0.0,0.1407365053892135,0.0,0.1403083056211471,620.0,620.0,2
7006.0,11006.0,7006.0,10006.0,1.01,1.0,0.0,-0.8,1.0,0.9311285018920898,1.0,0.9333090782165528,720.0,720.0,2
9006.0,9006.0,9006.0,8006.0,1.92,1.0,0.0,-0.99,1.0,0.8937374949455261,1.0,0.8932933807373047,540.0,540.0,2
8006.0,7006.0,8006.0,9006.0,1.12,1.0,0.0,-0.19,1.0,0.834221601486206,1.0,0.7819231748580933,620.0,620.0,2
6006.0,12006.0,7006.0,10006.0,1.76,1.0,0.0,-0.3,1.0,0.9406962990760804,1.0,0.9382808804512024,920.0,920.0,2
7006.0,6006.0,6006.0,7006.0,1.06,1.0,0.0,-0.28,1.0,0.884242057800293,1.0,0.8838138580322266,540.0,540.0,2
6006.0,8006.0,6006.0,11006.0,1.79,1.0,0.0,-0.24,0.0,0.0544248595833778,0.0,0.0536071248352527,980.0,980.0,2
