agent1_strategy,agent1_reward,agent2_strategy,agent2_reward,temptation,reward,punishment,sucker,agent1_final_strategy,agent1_defection_ratio,agent2_final_strategy,agent2_defection_ratio,agent1_updating_times,agent2_updating_times,model
4000.0,6000.0,7000.0,5000.0,1.79,1.0,0.0,-0.7,1.0,0.9762856960296631,1.0,0.979285717010498,5936.0,6936.0,normal
3000.0,8000.0,3000.0,8000.0,2.27,1.0,0.0,-0.9,1.0,0.9816250205039978,1.0,0.981124997138977,7936.0,7936.0,normal
9000.0,8000.0,4000.0,9000.0,1.36,1.0,0.0,-0.32,1.0,0.9751111268997192,1.0,0.9760000109672546,8936.0,8936.0,normal
3000.0,5000.0,3000.0,4000.0,2.5,1.0,0.0,-0.56,1.0,0.9728000164031982,1.0,0.9746000170707703,4936.0,3936.0,normal
3000.0,3000.0,3000.0,3000.0,2.79,1.0,0.0,-0.88,1.0,0.9639999866485596,1.0,0.965666651725769,2936.0,2936.0,normal
3000.0,4000.0,4000.0,3000.0,1.24,1.0,0.0,-0.51,1.0,0.9652500152587891,1.0,0.9602500200271606,3936.0,3936.0,normal
3000.0,4000.0,3000.0,3000.0,1.88,1.0,0.0,-0.97,1.0,0.9735000133514404,1.0,0.9712499976158142,3936.0,2936.0,normal
,,,,1.2,1.0,0.0,-0.1,0.0,0.543666660785675,0.0,0.4753333330154419,,,normal
3000.0,1000.0,3000.0,1000.0,1.36,1.0,0.0,-0.74,1.0,0.9610000252723694,1.0,0.9660000205039978,2936.0,2936.0,normal
5000.0,6000.0,7000.0,6000.0,1.01,1.0,0.0,-0.34,1.0,0.9735714197158813,1.0,0.9691428542137146,5936.0,6936.0,normal
3000.0,3000.0,3000.0,4000.0,1.95,1.0,0.0,-0.69,1.0,0.9702500104904175,1.0,0.9732499718666077,2936.0,3936.0,normal
5000.0,3000.0,4000.0,4000.0,1.65,1.0,0.0,-0.49,1.0,0.9679999947547913,1.0,0.9679999947547913,4936.0,3936.0,normal
4000.0,1000.0,3000.0,3000.0,1.01,1.0,0.0,-0.46,1.0,0.9677500128746033,1.0,0.9670000076293945,3936.0,2936.0,normal
4000.0,4000.0,3000.0,4000.0,1.37,1.0,0.0,-0.82,1.0,0.9697499871253967,1.0,0.9700000286102295,3936.0,3936.0,normal
,,,,1.92,1.0,0.0,-0.04,0.0,0.7050333619117737,0.0,0.5773666501045227,,,normal
4000.0,4000.0,3000.0,4000.0,1.15,1.0,0.0,-0.23,1.0,0.9639999866485596,1.0,0.9624999761581421,3936.0,3936.0,normal
3000.0,3000.0,3000.0,3000.0,1.01,1.0,0.0,-0.07,0.0,0.19433332979679108,0.0,0.19900000095367432,2936.0,2936.0,normal
,,,,1.44,1.0,0.0,-0.11,1.0,0.7189666628837585,1.0,0.5619333386421204,,,normal
4000.0,3000.0,4000.0,3000.0,2.38,1.0,0.0,-0.41,1.0,0.9505000114440918,1.0,0.9522500038146973,3936.0,3936.0,normal
,,,30000.0,1.12,1.0,0.0,-0.09,0.0,0.7087000012397766,1.0,0.6643666625022888,,29936.0,normal
3000.0,1000.0,3000.0,1000.0,2.21,1.0,0.0,-0.91,1.0,0.9589999914169312,1.0,0.9586666822433472,2936.0,2936.0,normal
3000.0,1000.0,3000.0,3000.0,2.33,1.0,0.0,-0.81,1.0,0.9643333554267883,1.0,0.9596666693687439,2936.0,2936.0,normal
3000.0,1000.0,3000.0,1000.0,1.32,1.0,0.0,-0.96,1.0,0.9636666774749756,1.0,0.9589999914169312,2936.0,2936.0,normal
9000.0,9000.0,3000.0,7000.0,2.16,1.0,0.0,-0.68,1.0,0.9844444394111633,1.0,0.9831110835075378,8936.0,6936.0,normal
3000.0,6000.0,3000.0,7000.0,1.47,1.0,0.0,-0.62,1.0,0.9800000190734863,1.0,0.9787142872810364,5936.0,6936.0,normal
3000.0,1000.0,3000.0,1000.0,2.02,1.0,0.0,-0.73,1.0,0.965666651725769,1.0,0.9616666436195374,2936.0,2936.0,normal
5000.0,5000.0,5000.0,5000.0,1.67,1.0,0.0,-0.18,1.0,0.9539999961853027,1.0,0.9559999704360962,4936.0,4936.0,normal
3000.0,4000.0,3000.0,4000.0,1.79,1.0,0.0,-0.65,1.0,0.9679999947547913,1.0,0.965499997138977,3936.0,3936.0,normal
3000.0,1000.0,3000.0,3000.0,1.01,1.0,0.0,-0.72,1.0,0.9589999914169312,1.0,0.9559999704360962,2936.0,2936.0,normal
3000.0,10000.0,4000.0,9000.0,2.18,1.0,0.0,-0.46,1.0,0.9824000000953674,1.0,0.9837999939918518,9936.0,8936.0,normal
3000.0,6000.0,3000.0,6000.0,1.46,1.0,0.0,-0.86,1.0,0.9775000214576721,1.0,0.9771666526794434,5936.0,5936.0,normal
5000.0,5000.0,5000.0,6000.0,1.07,1.0,0.0,-0.21,1.0,0.9458333253860474,1.0,0.9470000267028809,4936.0,5936.0,normal
4000.0,3000.0,3000.0,3000.0,1.01,1.0,0.0,-0.93,1.0,0.9679999947547913,1.0,0.9727500081062317,3936.0,2936.0,normal
,,,,1.52,1.0,0.0,-0.02,0.0,0.7060999870300293,1.0,0.5223666429519653,,,normal
4000.0,5000.0,4000.0,4000.0,1.77,1.0,0.0,-0.24,1.0,0.954200029373169,1.0,0.9588000178337097,4936.0,3936.0,normal
22000.0,22000.0,22000.0,22000.0,1.01,1.0,0.0,-0.8,1.0,0.3465000092983246,1.0,0.2342272698879242,21936.0,21936.0,normal
3000.0,9000.0,3000.0,8000.0,1.92,1.0,0.0,-0.99,1.0,0.983222246170044,1.0,0.9834444522857666,8936.0,7936.0,normal
5000.0,5000.0,6000.0,4000.0,1.12,1.0,0.0,-0.19,1.0,0.965666651725769,1.0,0.9636666774749756,4936.0,5936.0,normal
4000.0,6000.0,4000.0,6000.0,1.76,1.0,0.0,-0.3,1.0,0.9509999752044678,1.0,0.9559999704360962,5936.0,5936.0,normal
4000.0,3000.0,4000.0,5000.0,1.06,1.0,0.0,-0.28,1.0,0.949999988079071,1.0,0.9616000056266785,3936.0,4936.0,normal
5000.0,4000.0,3000.0,4000.0,1.79,1.0,0.0,-0.24,1.0,0.9703999757766724,1.0,0.9706000089645386,4936.0,3936.0,normal
3000.0,1000.0,3000.0,1000.0,1.63,1.0,0.0,-0.93,1.0,0.9660000205039978,1.0,0.968666672706604,2936.0,2936.0,normal
11000.0,16000.0,10000.0,16000.0,2.52,1.0,0.0,-0.65,1.0,0.9869999885559082,1.0,0.9867500066757202,15936.0,15936.0,normal
3000.0,1000.0,3000.0,1000.0,1.09,1.0,0.0,-0.89,1.0,0.9606666564941406,1.0,0.9639999866485596,2936.0,2936.0,normal
7000.0,3000.0,8000.0,5000.0,1.26,1.0,0.0,-0.15,1.0,0.9631249904632568,1.0,0.9614999890327454,6936.0,7936.0,normal
11000.0,10000.0,11000.0,13000.0,1.01,1.0,0.0,-0.38,1.0,0.5245384573936462,1.0,0.5408461689949036,10936.0,12936.0,normal
3000.0,3000.0,3000.0,5000.0,2.52,1.0,0.0,-0.67,1.0,0.9728000164031982,1.0,0.972000002861023,2936.0,4936.0,normal
3000.0,5000.0,5000.0,5000.0,2.67,1.0,0.0,-0.94,1.0,0.9779999852180481,1.0,0.9724000096321106,4936.0,4936.0,normal
3000.0,4000.0,3000.0,4000.0,1.29,1.0,0.0,-0.69,1.0,0.9700000286102295,1.0,0.9745000004768372,3936.0,3936.0,normal
3000.0,5000.0,3000.0,6000.0,2.04,1.0,0.0,-0.68,1.0,0.9728333353996277,1.0,0.9761666655540466,4936.0,5936.0,normal
6000.0,3000.0,5000.0,6000.0,2.0,1.0,0.0,-0.28,1.0,0.9710000157356262,1.0,0.9751666784286499,5936.0,5936.0,normal
3000.0,4000.0,3000.0,3000.0,1.67,1.0,0.0,-0.37,1.0,0.9674999713897705,1.0,0.9649999737739563,3936.0,2936.0,normal
,,,,1.5,1.0,0.0,-0.12,0.0,0.5512333512306213,0.0,0.7312333583831787,,,normal
11000.0,9000.0,9000.0,9000.0,1.22,1.0,0.0,-0.53,1.0,0.66154545545578,1.0,0.6254545450210571,10936.0,8936.0,normal
6000.0,7000.0,3000.0,7000.0,1.01,1.0,0.0,-0.88,1.0,0.9760000109672546,1.0,0.9818571209907532,6936.0,6936.0,normal
4000.0,3000.0,3000.0,3000.0,2.13,1.0,0.0,-0.29,1.0,0.9617499709129333,1.0,0.9589999914169312,3936.0,2936.0,normal
4000.0,4000.0,4000.0,4000.0,2.1,1.0,0.0,-0.25,1.0,0.9057499766349792,1.0,0.9085000157356262,3936.0,3936.0,normal
