strategy_convergent_episode,network_convergent_episode,temptation,reward,punishment,sucker,final_strategy,defection_ratio,R+S-T-P,model
40578.0,47261.0,1.44,1.0,0.0,-0.11,1.0,0.9021815061569214,-0.5499999999999999,DQN
15898.0,34626.0,2.38,1.0,0.0,-0.41,1.0,0.9423843622207642,-1.7899999999999998,DQN
15898.0,16324.0,1.12,1.0,0.0,-0.09,1.0,0.8327003121376038,-0.21000000000000008,DQN
15898.0,34093.0,2.21,1.0,0.0,-0.91,1.0,0.9414836168289185,-2.12,DQN
40578.0,45297.0,2.33,1.0,0.0,-0.81,1.0,0.9547210335731506,-2.14,DQN
15898.0,18906.0,1.32,1.0,0.0,-0.96,1.0,0.898127555847168,-1.28,DQN
15898.0,34626.0,2.16,1.0,0.0,-0.68,1.0,0.9423843622207642,-1.8400000000000003,DQN
15898.0,30523.0,1.47,1.0,0.0,-0.62,1.0,0.9333944916725159,-1.0899999999999999,DQN
15898.0,34626.0,2.02,1.0,0.0,-0.73,1.0,0.9423843622207642,-1.75,DQN
15898.0,30523.0,1.67,1.0,0.0,-0.18,1.0,0.9301182627677917,-0.8499999999999999,DQN
40578.0,55000.0,1.79,1.0,0.0,-0.65,1.0,0.9586689472198486,-1.44,DQN
15898.0,16324.0,1.01,1.0,0.0,-0.72,1.0,0.8679245114326477,-0.73,DQN
15898.0,34626.0,2.18,1.0,0.0,-0.46,1.0,0.9423843622207642,-1.6400000000000001,DQN
15898.0,16682.0,1.46,1.0,0.0,-0.86,1.0,0.8815490007400513,-1.3199999999999998,DQN
15898.0,16324.0,1.07,1.0,0.0,-0.21,1.0,0.7972923517227173,-0.28,DQN
15898.0,16324.0,1.01,1.0,0.0,-0.93,1.0,0.8722739815711975,-0.9400000000000001,DQN
40578.0,55000.0,1.52,1.0,0.0,-0.02,1.0,0.921744167804718,-0.54,DQN
40578.0,55000.0,1.77,1.0,0.0,-0.24,1.0,0.9309952855110168,-1.01,DQN
15898.0,16324.0,1.01,1.0,0.0,-0.8,1.0,0.8715388178825378,-0.81,DQN
15898.0,23720.0,1.92,1.0,0.0,-0.99,1.0,0.9180017113685608,-1.91,DQN
15898.0,16324.0,1.12,1.0,0.0,-0.19,1.0,0.7973535656929016,-0.31000000000000005,DQN
15898.0,30523.0,1.76,1.0,0.0,-0.3,1.0,0.9203223586082458,-1.06,DQN
15898.0,16324.0,1.06,1.0,0.0,-0.28,1.0,0.8124846816062927,-0.3400000000000001,DQN
40578.0,55000.0,1.79,1.0,0.0,-0.24,1.0,0.9309952855110168,-1.03,DQN
15898.0,30523.0,1.63,1.0,0.0,-0.93,1.0,0.9352946877479553,-1.56,DQN
15898.0,20992.0,2.52,1.0,0.0,-0.65,1.0,0.9078696370124817,-2.17,DQN
15898.0,16324.0,1.09,1.0,0.0,-0.89,1.0,0.879135012626648,-0.9800000000000001,DQN
16538.0,18906.0,1.26,1.0,0.0,-0.15,1.0,0.6970273852348328,-0.41000000000000003,DQN
15898.0,27098.0,1.01,1.0,0.0,-0.38,1.0,0.885748028755188,-0.39,DQN
15898.0,20992.0,2.52,1.0,0.0,-0.67,1.0,0.9078696370124817,-2.19,DQN
15898.0,20992.0,2.67,1.0,0.0,-0.94,1.0,0.9078696370124817,-2.61,DQN
15898.0,30523.0,1.29,1.0,0.0,-0.69,1.0,0.9333289861679077,-0.98,DQN
15898.0,33763.0,2.04,1.0,0.0,-0.68,1.0,0.9409412741661072,-1.7200000000000002,DQN
15898.0,21552.0,2.0,1.0,0.0,-0.28,1.0,0.8889662027359009,-1.28,DQN
15898.0,24927.0,1.67,1.0,0.0,-0.37,1.0,0.9218116998672485,-1.04,DQN
40578.0,55000.0,1.5,1.0,0.0,-0.12,1.0,0.9078076481819153,-0.62,DQN
15898.0,30523.0,1.22,1.0,0.0,-0.53,1.0,0.9348032474517822,-0.75,DQN
15898.0,16324.0,1.01,1.0,0.0,-0.88,1.0,0.8727027773857117,-0.89,DQN
15898.0,34626.0,2.13,1.0,0.0,-0.29,1.0,0.9291861653327942,-1.42,DQN
15898.0,34626.0,2.1,1.0,0.0,-0.25,1.0,0.9022988677024841,-1.35,DQN
40578.0,43289.0,1.84,1.0,0.0,-0.44,1.0,0.9528055787086487,-1.28,DQN
