agent1_strategy,agent1_reward,agent2_strategy,agent2_reward,temptation,reward,punishment,sucker,agent1_final_strategy,agent1_defection_ratio,agent2_final_strategy,agent2_defection_ratio,agent1_updating_times,agent2_updating_times,model
3000.0,7000.0,3000.0,8000.0,0.34,3.8,0.0,-0.6600000000000001,0.0,0.02162499912083149,0.0,0.016750000417232513,6936.0,7936.0,normal
3000.0,8000.0,3000.0,8000.0,0.93,3.86,0.0,-0.06999999999999984,0.0,0.019874999299645424,0.0,0.0182499997317791,7936.0,7936.0,normal
3000.0,1000.0,4000.0,1000.0,0.33,3.23,0.0,-0.6699999999999999,1.0,0.9682499766349792,1.0,0.9697499871253967,2936.0,3936.0,normal
3000.0,3000.0,3000.0,3000.0,0.52,1.22,0.0,-0.48,0.0,0.1850000023841858,0.0,0.18400000035762787,2936.0,2936.0,normal
3000.0,1000.0,3000.0,1000.0,0.7,1.0,0.0,-0.91,1.0,0.9589999914169312,1.0,0.953000009059906,2936.0,2936.0,normal
3000.0,3000.0,3000.0,3000.0,0.37,2.74,0.0,-0.6300000000000003,0.0,0.04100000113248825,0.0,0.041999999433755875,2936.0,2936.0,normal
3000.0,5000.0,3000.0,5000.0,0.96,1.76,0.0,-0.040000000000000036,0.0,0.02160000056028366,0.0,0.023000000044703484,4936.0,4936.0,normal
3000.0,4000.0,5000.0,5000.0,0.95,1.0,0.0,-0.56,1.0,0.9656000137329102,1.0,0.9584000110626221,3936.0,4936.0,normal
3000.0,4000.0,3000.0,4000.0,0.26,1.98,0.0,-0.74,0.0,0.026750000193715096,0.0,0.032999999821186066,3936.0,3936.0,normal
3000.0,3000.0,3000.0,1000.0,0.5,1.0,0.0,-1.3599999999999999,1.0,0.9683333039283752,1.0,0.965666651725769,2936.0,2936.0,normal
3000.0,9000.0,6000.0,8000.0,0.3,3.64,0.0,-0.7000000000000002,0.0,0.05255555734038353,0.0,0.056333333253860474,8936.0,7936.0,normal
3000.0,1000.0,3000.0,3000.0,0.29,1.04,0.0,-0.7100000000000001,1.0,0.9639999866485596,1.0,0.9603333473205566,2936.0,2936.0,normal
3000.0,3000.0,3000.0,4000.0,0.05,2.65,0.0,-0.95,0.0,0.02800000086426735,0.0,0.029249999672174454,2936.0,3936.0,normal
3000.0,2000.0,3000.0,4000.0,0.61,1.25,0.0,-0.39,0.0,0.032999999821186066,0.0,0.03175000101327896,2936.0,3936.0,normal
3000.0,2000.0,3000.0,2000.0,0.5,2.08,0.0,-0.5,0.0,0.050333332270383835,0.0,0.04399999976158142,2936.0,2936.0,normal
3000.0,3000.0,3000.0,3000.0,0.06,2.19,0.0,-0.94,0.0,0.05133333429694176,0.0,0.050333332270383835,2936.0,2936.0,normal
3000.0,1000.0,4000.0,3000.0,0.28,1.0,0.0,-0.98,1.0,0.9697499871253967,1.0,0.9667500257492065,2936.0,3936.0,normal
3000.0,6000.0,3000.0,6000.0,0.9,3.88,0.0,-0.10000000000000009,0.0,0.02500000037252903,0.0,0.019333332777023315,5936.0,5936.0,normal
3000.0,7000.0,3000.0,7000.0,0.24,3.1,0.0,-0.7600000000000002,0.0,0.022857142612338066,0.0,0.020428571850061417,6936.0,6936.0,normal
3000.0,4000.0,3000.0,4000.0,0.15,3.76,0.0,-0.8500000000000001,0.0,0.026499999687075615,0.0,0.029999999329447746,3936.0,3936.0,normal
3000.0,4000.0,3000.0,4000.0,0.49,3.58,0.0,-0.5099999999999998,0.0,0.027499999850988388,0.0,0.03099999949336052,3936.0,3936.0,normal
3000.0,2000.0,3000.0,3000.0,0.98,2.3899999999999997,0.0,-0.019999999999999574,0.0,0.0403333343565464,0.0,0.041999999433755875,2936.0,2936.0,normal
3000.0,4000.0,3000.0,4000.0,0.25,3.69,0.0,-0.75,0.0,0.02824999950826168,0.0,0.028999999165534973,3936.0,3936.0,normal
