strategy_convergent_episode,network_convergent_episode,temptation,reward,punishment,sucker,final_strategy,defection_ratio,game
40578.0,55000.0,1.79,1.0,0.0,-0.65,1.0,0.9586689472198486,PD
15898.0,16324.0,1.01,1.0,0.0,-0.72,1.0,0.8632075190544128,PD
15898.0,34626.0,2.18,1.0,0.0,-0.46,1.0,0.9423843622207642,PD
15898.0,16682.0,1.46,1.0,0.0,-0.86,1.0,0.8815490007400513,PD
15898.0,16324.0,1.07,1.0,0.0,-0.21,1.0,0.7973535656929016,PD
15898.0,16324.0,1.01,1.0,0.0,-0.93,1.0,0.8721514344215393,PD
20404.0,20992.0,1.52,1.0,0.0,-0.02,0.0,0.2166539579629898,PD
40578.0,55000.0,1.77,1.0,0.0,-0.24,1.0,0.9416620135307312,PD
15898.0,16324.0,1.01,1.0,0.0,-0.8,1.0,0.8632075190544128,PD
15898.0,21552.0,1.92,1.0,0.0,-0.99,1.0,0.9101707339286804,PD
15898.0,16324.0,1.12,1.0,0.0,-0.19,1.0,0.7973535656929016,PD
40578.0,55000.0,1.76,1.0,0.0,-0.3,1.0,0.9416620135307312,PD
15898.0,16324.0,1.06,1.0,0.0,-0.28,1.0,0.8441558480262756,PD
15898.0,30523.0,1.79,1.0,0.0,-0.24,1.0,0.9073485732078552,PD
15898.0,30523.0,1.63,1.0,0.0,-0.93,1.0,0.9352946877479553,PD
15898.0,20992.0,2.52,1.0,0.0,-0.65,1.0,0.9078696370124817,PD
15898.0,16324.0,1.09,1.0,0.0,-0.89,1.0,0.8721514344215393,PD
39601.0,39830.0,1.26,1.0,0.0,-0.15,1.0,0.9337685108184814,PD
15898.0,27098.0,1.01,1.0,0.0,-0.38,1.0,0.886965811252594,PD
15898.0,20992.0,2.52,1.0,0.0,-0.67,1.0,0.9078696370124817,PD
15898.0,20992.0,2.67,1.0,0.0,-0.94,1.0,0.9078696370124817,PD
15898.0,18906.0,1.29,1.0,0.0,-0.69,1.0,0.8949539661407471,PD
15898.0,33763.0,2.04,1.0,0.0,-0.68,1.0,0.9409412741661072,PD
15898.0,23720.0,2.0,1.0,0.0,-0.28,1.0,0.8820405006408691,PD
