strategy_convergent_episode,network_convergent_episode,temptation,reward,punishment,sucker,final_strategy,defection_ratio,R+S-T-P,game,h
29807.0,52000.0,1.44,1.0,0.0,-0.11,1.0,0.941203474998474,-0.5499999999999999,PD,2
21256.0,27828.0,2.38,1.0,0.0,-0.41,1.0,0.9198289513587952,-1.7899999999999998,PD,2
29532.0,31101.0,1.12,1.0,0.0,-0.09,0.0,0.3647471070289612,-0.21,PD,2
29807.0,41583.0,2.21,1.0,0.0,-0.91,1.0,0.9501478672027588,-2.12,PD,2
29807.0,52000.0,2.33,1.0,0.0,-0.81,1.0,0.9581106901168824,-2.14,PD,2
38310.0,42275.0,1.32,1.0,0.0,-0.96,1.0,0.9294381737709044,-1.28,PD,2
15710.0,19648.0,2.16,1.0,0.0,-0.68,1.0,0.9007023572921753,-1.8400000000000003,PD,2
29807.0,35413.0,1.47,1.0,0.0,-0.62,1.0,0.9378759264945984,-1.09,PD,2
16682.0,19648.0,2.02,1.0,0.0,-0.73,1.0,0.8966307044029236,-1.75,PD,2
29807.0,36434.0,1.67,1.0,0.0,-0.18,1.0,0.92034912109375,-0.8499999999999999,PD,2
29807.0,36434.0,1.79,1.0,0.0,-0.65,1.0,0.9397266507148744,-1.44,PD,2
38310.0,43588.0,1.01,1.0,0.0,-0.72,1.0,0.9116270542144777,-0.73,PD,2
29807.0,52000.0,2.18,1.0,0.0,-0.46,1.0,0.9431772828102112,-1.64,PD,2
16682.0,17781.0,1.46,1.0,0.0,-0.86,1.0,0.8863393664360046,-1.3199999999999998,PD,2
29807.0,30523.0,1.07,1.0,0.0,-0.21,1.0,0.8610228300094604,-0.28,PD,2
38310.0,40317.0,1.01,1.0,0.0,-0.93,1.0,0.9021256566047668,-0.94,PD,2
15898.0,19648.0,1.52,1.0,0.0,-0.02,0.0,0.3206433355808258,-0.54,PD,2
21256.0,24927.0,1.77,1.0,0.0,-0.24,1.0,0.8950535655021667,-1.01,PD,2
37565.0,39830.0,1.01,1.0,0.0,-0.8,1.0,0.8994225263595581,-0.81,PD,2
29807.0,52000.0,1.92,1.0,0.0,-0.99,1.0,0.9581106901168824,-1.91,PD,2
29807.0,30523.0,1.12,1.0,0.0,-0.19,1.0,0.8584018349647522,-0.31,PD,2
21256.0,21552.0,1.76,1.0,0.0,-0.3,1.0,0.8307813405990601,-1.06,PD,2
16538.0,19848.0,1.06,1.0,0.0,-0.28,1.0,0.8259270191192627,-0.3400000000000001,PD,2
21256.0,24927.0,1.79,1.0,0.0,-0.24,1.0,0.8865888118743896,-1.03,PD,2
39163.0,40578.0,1.63,1.0,0.0,-0.93,1.0,0.9358273148536682,-1.56,PD,2
29807.0,52000.0,2.52,1.0,0.0,-0.65,1.0,0.9581106901168824,-2.17,PD,2
38310.0,40317.0,1.09,1.0,0.0,-0.89,1.0,0.8802242279052734,-0.98,PD,2
17781.0,18906.0,1.26,1.0,0.0,-0.15,1.0,0.7825028896331787,-0.41,PD,2
29807.0,34300.0,1.01,1.0,0.0,-0.38,1.0,0.896793007850647,-0.39,PD,2
29807.0,52000.0,2.52,1.0,0.0,-0.67,1.0,0.9581106901168824,-2.19,PD,2
29807.0,41583.0,2.67,1.0,0.0,-0.94,1.0,0.9501478672027588,-2.61,PD,2
21256.0,23555.0,1.29,1.0,0.0,-0.69,1.0,0.9095308780670166,-0.98,PD,2
16682.0,19648.0,2.04,1.0,0.0,-0.68,1.0,0.8966307044029236,-1.7200000000000002,PD,2
29807.0,47261.0,2.0,1.0,0.0,-0.28,1.0,0.8842809200286865,-1.28,PD,2
17485.0,19848.0,1.67,1.0,0.0,-0.37,1.0,0.8602378368377686,-1.04,PD,2
37565.0,40578.0,1.5,1.0,0.0,-0.12,1.0,0.4474345743656158,-0.62,PD,2
29807.0,39830.0,1.22,1.0,0.0,-0.53,1.0,0.9274667501449584,-0.75,PD,2
37565.0,39830.0,1.01,1.0,0.0,-0.88,1.0,0.9004268050193787,-0.89,PD,2
29807.0,52000.0,2.13,1.0,0.0,-0.29,1.0,0.9490589499473572,-1.42,PD,2
29807.0,52000.0,2.1,1.0,0.0,-0.25,1.0,0.94036602973938,-1.35,PD,2
21256.0,21552.0,1.84,1.0,0.0,-0.44,1.0,0.8706848621368408,-1.28,PD,2
16905.0,18906.0,1.29,1.0,0.0,-0.24,1.0,0.8550195693969727,-0.53,PD,2
29807.0,52000.0,1.4,1.0,0.0,-0.51,1.0,0.941701889038086,-0.91,PD,2
29807.0,34093.0,2.02,1.0,0.0,-0.48,1.0,0.9087202548980712,-1.5,PD,2
29807.0,52000.0,2.39,1.0,0.0,-0.58,1.0,0.9581106901168824,-1.97,PD,2
29807.0,41583.0,2.72,1.0,0.0,-0.97,1.0,0.9501478672027588,-2.6900000000000004,PD,2
21256.0,27828.0,2.42,1.0,0.0,-0.89,1.0,0.928165853023529,-2.31,PD,2
17485.0,18704.0,0.04,1.5,0.0,-0.96,1.0,0.8153870701789856,0.5,SH,2
47261.0,47646.0,0.63,3.8,0.0,-0.3700000000000001,0.0,0.2138689458370208,2.8,SH,2
29532.0,33763.0,0.32,2.93,0.0,-0.6799999999999997,0.0,0.3648964762687683,1.93,SH,2
47261.0,55000.0,0.51,2.39,0.0,-0.4899999999999997,0.0,0.3927346765995025,1.39,SH,2
38628.0,48785.0,0.9,1.0,0.0,-0.48,1.0,0.91671621799469,-0.38,SH,2
15710.0,15898.0,0.25,1.0,0.0,-1.13,1.0,0.8667128086090088,-0.3799999999999999,SH,2
15710.0,15898.0,0.41,1.0,0.0,-1.36,1.0,0.8733174204826355,-0.77,SH,2
47261.0,55000.0,0.75,3.46,0.0,-0.25,0.0,0.0877063572406768,2.46,SH,2
29532.0,34626.0,0.23,2.4,0.0,-0.77,0.0,0.3574481606483459,1.4,SH,2
15710.0,16404.0,0.09,2.83,0.0,-0.91,1.0,0.795659601688385,1.83,SH,2
15710.0,15898.0,0.29,1.0,0.0,-1.63,1.0,0.8755189180374146,-0.9200000000000002,SH,2
18091.0,18579.0,0.17,3.88,0.0,-0.8300000000000001,1.0,0.7453576326370239,2.88,SH,2
47261.0,55000.0,0.92,3.33,0.0,-0.08,0.0,0.0814060121774673,2.33,SH,2
21256.0,27098.0,0.8,1.0,0.0,-0.35,1.0,0.8591039776802063,-0.15,SH,2
29807.0,32049.0,0.63,1.0,0.0,-0.64,1.0,0.8967830538749695,-0.27,SH,2
21256.0,23555.0,0.86,1.0,0.0,-0.41,1.0,0.8524304628372192,-0.27,SH,2
26548.0,27098.0,0.8,1.22,0.0,-0.1999999999999999,0.0,0.4430954456329345,0.2199999999999999,SH,2
17781.0,18579.0,0.19,2.1,0.0,-0.81,1.0,0.7793207168579102,1.1,SH,2
47261.0,55000.0,0.88,1.73,0.0,-0.1200000000000001,0.0,0.073929339647293,0.7299999999999999,SH,2
29532.0,32049.0,0.54,1.16,0.0,-0.4599999999999998,0.0,0.6412056684494019,0.16,SH,2
29532.0,45792.0,0.8,2.45,0.0,-0.2000000000000001,0.0,0.1033149883151054,1.45,SH,2
21256.0,27098.0,0.89,1.0,0.0,-0.55,1.0,0.8870396614074707,-0.44,SH,2
15710.0,15898.0,0.32,1.17,0.0,-0.6799999999999999,1.0,0.8455780744552612,0.1699999999999999,SH,2
19848.0,20275.0,0.12,1.47,0.0,-0.88,1.0,0.8436991572380066,0.47,SH,2
17781.0,19040.0,0.23,1.82,0.0,-0.7699999999999998,1.0,0.8090861439704895,0.8200000000000001,SH,2
29532.0,41583.0,0.43,3.14,0.0,-0.5699999999999998,0.0,0.4734386503696441,2.14,SH,2
